PRODUCTID;ORDER_NUMBER;ORDER_QUANTITY;UNIT_PRICE;DELIVERY_COST;TAX_RATE
2;SO44922   ;5;EUR 850;EUR 38,43;0.23000
1;SO45154   ;2;EUR 799;EUR 68,54;0.23000
5;SO46502   ;1;EUR 200;EUR 96,87;0.23000
2;SO47526   ;2;EUR 850;EUR 97,35;0.23000
3;SO48163   ;1;EUR 99,99;EUR 66,43;0.23000
2;SO48559   ;1;EUR 850;EUR 57,77;0.23000
2;SO49663   ;10;EUR 850;EUR 46,36;0.23000
3;SO49761   ;2;EUR 99,99;EUR 87,11;0.23000
5;SO50519   ;6;EUR 200;EUR 79,58;0.23000
3;SO50601   ;7;EUR 99,99;EUR 33,85;0.23000
2;SO50874   ;10;EUR 850;EUR 54,08;0.23000
2;SO44687   ;1;EUR 850;EUR 55,36;0.23000
4;SO44929   ;2;EUR 1159,9;EUR 69,29;0.23000
4;SO45899   ;8;EUR 1159,9;EUR 34,47;0.23000
3;SO46273   ;10;EUR 99,99;EUR 52,58;0.23000
4;SO47749   ;6;EUR 1159,9;EUR 61,24;0.23000
5;SO47793   ;9;EUR 200;EUR 39,62;0.23000
4;SO48218   ;8;EUR 1159,9;EUR 32,22;0.23000
1;SO48276   ;7;EUR 799;EUR 94,28;0.23000
3;SO48967   ;6;EUR 99,99;EUR 32,47;0.23000
1;SO49389   ;4;EUR 799;EUR 94,44;0.23000
4;SO49550   ;6;EUR 1159,9;EUR 37,92;0.23000
2;SO50471   ;7;EUR 850;EUR 46,26;0.23000
4;SO50531   ;10;EUR 1159,9;EUR 58,87;0.23000
3;SO45106   ;5;EUR 99,99;EUR 36,18;0.23000
2;SO46478   ;4;EUR 850;EUR 63,55;0.23000
3;SO47545   ;3;EUR 99,99;EUR 32,75;0.23000
1;SO49637   ;3;EUR 799;EUR 67,2;0.23000
5;SO50016   ;7;EUR 200;EUR 45,05;0.23000
1;SO43707   ;8;EUR 799;EUR 97,1;0.23000
1;SO45585   ;3;EUR 799;EUR 96,3;0.23000
5;SO45627   ;6;EUR 200;EUR 38,57;0.23000
1;SO45768   ;9;EUR 799;EUR 70,24;0.23000
2;SO46225   ;3;EUR 850;EUR 94,87;0.23000
1;SO46927   ;4;EUR 799;EUR 82,25;0.23000
4;SO48916   ;2;EUR 1159,9;EUR 52,76;0.23000
2;SO49203   ;10;EUR 850;EUR 57,23;0.23000
3;SO49295   ;1;EUR 99,99;EUR 36,85;0.23000
5;SO50066   ;3;EUR 200;EUR 88,37;0.23000
5;SO44966   ;3;EUR 200;EUR 52,07;0.23000
2;SO45377   ;8;EUR 850;EUR 76,77;0.23000
1;SO45672   ;2;EUR 799;EUR 98,7;0.23000
4;SO45739   ;10;EUR 1159,9;EUR 56,88;0.23000
1;SO46809   ;9;EUR 799;EUR 56,75;0.23000
2;SO47618   ;9;EUR 850;EUR 94,7;0.23000
3;SO48619   ;7;EUR 99,99;EUR 55,51;0.23000
5;SO48871   ;1;EUR 200;EUR 80,04;0.23000
3;SO48971   ;7;EUR 99,99;EUR 63,73;0.23000
5;SO49556   ;10;EUR 200;EUR 61,93;0.23000
2;SO50813   ;4;EUR 850;EUR 42,77;0.23000
1;SO50828   ;4;EUR 799;EUR 45,78;0.23000
1;SO51177   ;15;EUR 799;EUR 31,72;0.46000
4;SO43706   ;7;EUR 1159,9;EUR 81,38;0.23000
2;SO44638   ;8;EUR 850;EUR 64,92;0.23000
3;SO44728   ;5;EUR 99,99;EUR 37,3;0.23000
4;SO44864   ;7;EUR 1159,9;EUR 57,01;0.23000
1;SO45166   ;8;EUR 799;EUR 38,22;0.23000
5;SO45196   ;3;EUR 200;EUR 71,97;0.23000
3;SO46593   ;3;EUR 99,99;EUR 61,48;0.23000
4;SO47207   ;5;EUR 1159,9;EUR 91,75;0.23000
1;SO47768   ;3;EUR 799;EUR 40,34;0.23000
1;SO48616   ;4;EUR 799;EUR 74,95;0.23000
5;SO48866   ;5;EUR 200;EUR 80,86;0.23000
5;SO48870   ;3;EUR 200;EUR 42,58;0.23000
1;SO49577   ;10;EUR 799;EUR 51,89;0.23000
4;SO49780   ;6;EUR 1159,9;EUR 81,55;0.23000
4;SO50764   ;5;EUR 1159,9;EUR 40,3;0.23000
4;SO43703   ;6;EUR 1159,9;EUR 54,24;0.23000
5;SO44464   ;9;EUR 200;EUR 71,96;0.23000
2;SO44722   ;3;EUR 850;EUR 77,32;0.23000
2;SO44954   ;1;EUR 850;EUR 39,06;0.23000
3;SO45034   ;6;EUR 99,99;EUR 86,21;0.23000
2;SO45700   ;3;EUR 850;EUR 42,84;0.23000
3;SO46724   ;2;EUR 99,99;EUR 47,9;0.23000
