PRODUCTID;ORDER_NUMBER;ORDER_QUANTITY;UNIT_PRICE;DELIVERY_COST;TAX_RATE
3;SO44420   ;3;EUR 99,99;EUR 50,63;0.23000
3;SO43712   ;6;EUR 99,99;EUR 68,72;0.23000
4;SO44588   ;8;EUR 1159,9;EUR 40,43;0.23000
1;SO44623   ;8;EUR 799;EUR 47,43;0.23000
5;SO44659   ;3;EUR 200;EUR 88,15;0.23000
3;SO44454   ;3;EUR 99,99;EUR 32,37;0.23000
3;SO44571   ;9;EUR 99,99;EUR 46,53;0.23000
1;SO44447   ;8;EUR 799;EUR 34,47;0.23000
5;SO44648   ;8;EUR 200;EUR 82,13;0.23000
4;SO44610   ;8;EUR 1159,9;EUR 98,64;0.23000
1;SO44806   ;1;EUR 799;EUR 66,27;0.23000
1;SO44670   ;4;EUR 799;EUR 96,22;0.23000
1;SO44716   ;3;EUR 799;EUR 55,55;0.23000
3;SO44456   ;3;EUR 99,99;EUR 90,06;0.23000
2;SO44679   ;2;EUR 850;EUR 67,89;0.23000
4;SO44681   ;6;EUR 1159,9;EUR 70,68;0.23000
2;SO44643   ;9;EUR 850;EUR 50,35;0.23000
3;SO44730   ;2;EUR 99,99;EUR 65,86;0.23000
3;SO44703   ;9;EUR 99,99;EUR 75,9;0.23000
1;SO44577   ;6;EUR 799;EUR 90,88;0.23000
4;SO44678   ;5;EUR 1159,9;EUR 62,86;0.23000
2;SO43723   ;8;EUR 850;EUR 73,24;0.23000
3;SO43782   ;5;EUR 99,99;EUR 36,4;0.23000
3;SO43789   ;6;EUR 99,99;EUR 62,5;0.23000
3;SO43800   ;8;EUR 99,99;EUR 72,71;0.23000
3;SO44449   ;7;EUR 99,99;EUR 97,17;0.23000
3;SO44674   ;7;EUR 99,99;EUR 70,96;0.23000
3;SO43763   ;2;EUR 99,99;EUR 69,57;0.23000
1;SO43786   ;6;EUR 799;EUR 84,09;0.23000
3;SO43801   ;1;EUR 99,99;EUR 50,69;0.23000
2;SO43803   ;10;EUR 850;EUR 41,78;0.23000
3;SO43776   ;1;EUR 99,99;EUR 81,73;0.23000
2;SO43716   ;5;EUR 850;EUR 88,91;0.23000
4;SO43802   ;9;EUR 1159,9;EUR 95,14;0.23000
2;SO43804   ;6;EUR 850;EUR 58,68;0.23000
3;SO43813   ;2;EUR 99,99;EUR 82,74;0.23000
4;SO44436   ;9;EUR 1159,9;EUR 90,58;0.23000
5;SO44440   ;7;EUR 200;EUR 63,67;0.23000
1;SO44805   ;9;EUR 799;EUR 99,83;0.23000
3;SO43732   ;5;EUR 99,99;EUR 36,73;0.23000
2;SO44682   ;3;EUR 850;EUR 59,54;0.23000
3;SO43739   ;6;EUR 99,99;EUR 33,76;0.23000
1;SO44470   ;7;EUR 799;EUR 93,68;0.23000
2;SO44677   ;8;EUR 850;EUR 59,38;0.23000
4;SO44702   ;9;EUR 1159,9;EUR 88,84;0.23000
3;SO44594   ;4;EUR 99,99;EUR 86,25;0.23000
2;SO43825   ;9;EUR 850;EUR 65,28;0.23000
5;SO43828   ;1;EUR 200;EUR 62,4;0.23000
1;SO43835   ;3;EUR 799;EUR 91,31;0.23000
4;SO43941   ;7;EUR 1159,9;EUR 58,13;0.23000
1;SO43947   ;5;EUR 799;EUR 48,38;0.23000
5;SO43968   ;8;EUR 200;EUR 64,06;0.23000
1;SO44007   ;8;EUR 799;EUR 89,52;0.23000
2;SO44039   ;3;EUR 850;EUR 35,13;0.23000
2;SO44652   ;9;EUR 850;EUR 85,31;0.23000
4;SO43826   ;3;EUR 1159,9;EUR 60,16;0.23000
3;SO43925   ;1;EUR 99,99;EUR 35,63;0.23000
1;SO44002   ;1;EUR 799;EUR 46,13;0.23000
2;SO44005   ;5;EUR 850;EUR 59,37;0.23000
5;SO44024   ;5;EUR 200;EUR 54,42;0.23000
5;SO44011   ;6;EUR 200;EUR 38,71;0.23000
5;SO44032   ;4;EUR 200;EUR 31,04;0.23000
2;SO43827   ;4;EUR 850;EUR 35,03;0.23000
5;SO43833   ;8;EUR 200;EUR 54,47;0.23000
5;SO43937   ;10;EUR 200;EUR 83,46;0.23000
2;SO44606   ;7;EUR 850;EUR 88,55;0.23000
3;SO43832   ;5;EUR 99,99;EUR 79,5;0.23000
2;SO43973   ;4;EUR 850;EUR 37,57;0.23000
4;SO44010   ;5;EUR 1159,9;EUR 50,99;0.23000
2;SO44020   ;1;EUR 850;EUR 93,57;0.23000
5;SO44027   ;4;EUR 200;EUR 89,65;0.23000
5;SO44442   ;8;EUR 200;EUR 55,07;0.23000
4;SO44596   ;4;EUR 1159,9;EUR 65,66;0.23000
3;SO43929   ;10;EUR 99,99;EUR 61,95;0.23000
2;SO43932   ;10;EUR 850;EUR 99,86;0.23000
4;SO43980   ;9;EUR 1159,9;EUR 80,7;0.23000
3;SO43959   ;9;EUR 99,99;EUR 89,2;0.23000
1;SO43979   ;1;EUR 799;EUR 63,5;0.23000
4;SO43996   ;5;EUR 1159,9;EUR 41,56;0.23000
5;SO43998   ;4;EUR 200;EUR 41,44;0.23000
1;SO44041   ;9;EUR 799;EUR 87,41;0.23000
2;SO44047   ;6;EUR 850;EUR 79,6;0.23000
4;SO44060   ;1;EUR 1159,9;EUR 36,74;0.23000
1;SO44216   ;5;EUR 799;EUR 48,18;0.23000
3;SO44231   ;4;EUR 99,99;EUR 96,5;0.23000
